year,month,region,cnt
2020,3,대전,2865
2020,3,부산,3624
2020,3,서울,17172
2020,3,세종,1017
2020,3,울산,1650
2020,3,인천,3270
2020,3,전남,3893
2020,3,전북,2270
2020,3,제주,18793
2020,3,충남,3281
2020,3,충북,2617
2020,4,강원,2753
2020,4,경기,14546
2020,4,경남,4432
2020,4,경북,4682
2020,4,광주,2710
2020,4,대구,11878
2020,4,대전,2962
2020,4,부산,3883
2020,4,서울,17622
2020,4,세종,1024
2020,4,울산,1738
2020,4,인천,3345
2020,4,전남,4067
2020,4,전북,2467
2020,4,제주,19092
2020,4,충남,3560
2020,4,충북,2939
2020,5,강원,2839
2020,5,경기,14876
2020,5,경남,4568
2020,5,경북,4818
2020,5,광주,2745
2020,5,대구,12160
2020,5,대전,3001
2020,5,부산,3936
2020,5,서울,18098
2020,5,세종,1030
2020,5,울산,1774
2020,5,인천,3402
2020,5,전남,4125
2020,5,전북,2561
2020,5,제주,19388
2020,5,충남,3701
2020,5,충북,3077
2020,6,강원,2952
2020,6,경기,15946
2020,6,경남,4805
2020,6,경북,4980
2020,6,광주,2844
2020,6,대구,12356
2020,6,대전,3126
2020,6,부산,4100
2020,6,서울,19411
2020,6,세종,1044
2020,6,울산,2110
2020,6,인천,3741
2020,6,전남,4323
2020,6,전북,2745
2020,6,제주,19705
2020,6,충남,3920
2020,6,충북,3199
2020,7,강원,3025
2020,7,경기,16508
2020,7,경남,4886
2020,7,경북,5192
2020,7,광주,2962
2020,7,대구,12454
2020,7,대전,3204
2020,7,부산,4216
2020,7,서울,20003
2020,7,세종,1057
2020,7,울산,2119
2020,7,인천,3940
2020,7,전남,4444
2020,7,전북,2848
2020,7,제주,20105
2020,7,충남,4087
2020,7,충북,3268
2020,8,강원,3091
2020,8,경기,17197
2020,8,경남,5003
2020,8,경북,5400
2020,8,광주,3046
2020,8,대구,12468
2020,8,대전,3338
2020,8,부산,4320
2020,8,서울,20997
2020,8,세종,1076
2020,8,울산,2142
2020,8,인천,4204
2020,8,전남,4576
2020,8,전북,2906
2020,8,제주,20699
2020,8,충남,4252
2020,8,충북,3319
2020,8,강원,3091
2020,8,경기,17197
2020,8,경남,5003
2020,8,경북,5400
2020,8,광주,3046
2020,8,대구,12468
2020,8,대전,3338
2020,8,부산,4320
2020,8,서울,20997
2020,8,세종,1076
2020,8,울산,2142
2020,8,인천,4204
2020,8,전남,4576
2020,8,전북,2906
2020,8,제주,20699
